Turn: 47, cards: 9, with risk: 0
Turn: 87, cards: 22, with risk: 1
Turn: 93, cards: 21, with risk: 0
Turn: 36, cards: 7, with risk: 0
Turn: 83, cards: 23, with risk: 0
Turn: 94, cards: 12, with risk: 0
Turn: 94, cards: 19, with risk: 0
Turn: 89, cards: 15, with risk: 0
Turn: 91, cards: 21, with risk: 0
Turn: 96, cards: 17, with risk: 0
Turn: 87, cards: 18, with risk: 0
Turn: 84, cards: 20, with risk: 1
Turn: 86, cards: 21, with risk: 0
Turn: 14, cards: 5, with risk: 0
Turn: 88, cards: 17, with risk: 0
Turn: 96, cards: 17, with risk: 0
Turn: 90, cards: 20, with risk: 0
Turn: 86, cards: 17, with risk: 0
Turn: 80, cards: 24, with risk: 0
Turn: 94, cards: 23, with risk: 0
Turn: 85, cards: 23, with risk: 0
Turn: 92, cards: 17, with risk: 0
Turn: 82, cards: 24, with risk: 0
Turn: 82, cards: 23, with risk: 1
Turn: 87, cards: 23, with risk: 0
Turn: 83, cards: 24, with risk: 0
Turn: 87, cards: 20, with risk: 0
Turn: 88, cards: 17, with risk: 0
Turn: 89, cards: 17, with risk: 0
Turn: 85, cards: 23, with risk: 0
Turn: 22, cards: 6, with risk: 0
Turn: 84, cards: 19, with risk: 0
Turn: 83, cards: 22, with risk: 0
Turn: 83, cards: 22, with risk: 0
Turn: 91, cards: 16, with risk: 0
Turn: 90, cards: 20, with risk: 0
Turn: 49, cards: 16, with risk: 1
Turn: 84, cards: 22, with risk: 0
Turn: 92, cards: 20, with risk: 0
Turn: 87, cards: 20, with risk: 0
Turn: 87, cards: 18, with risk: 1
Turn: 92, cards: 16, with risk: 0
Turn: 85, cards: 23, with risk: 1
Turn: 48, cards: 15, with risk: 0
Turn: 86, cards: 20, with risk: 0
Turn: 93, cards: 19, with risk: 0
Turn: 67, cards: 13, with risk: 0
Turn: 94, cards: 18, with risk: 0
Turn: 92, cards: 19, with risk: 0
Turn: 93, cards: 20, with risk: 0
Turn: 88, cards: 22, with risk: 0
Turn: 94, cards: 19, with risk: 0
Turn: 90, cards: 16, with risk: 0
Turn: 87, cards: 21, with risk: 0
Turn: 82, cards: 19, with risk: 0
Turn: 85, cards: 20, with risk: 0
Turn: 87, cards: 22, with risk: 0
Turn: 89, cards: 24, with risk: 0
Turn: 88, cards: 21, with risk: 0
Turn: 85, cards: 22, with risk: 0
Turn: 83, cards: 24, with risk: 1
Turn: 86, cards: 23, with risk: 0
Turn: 30, cards: 7, with risk: 0
Turn: 34, cards: 10, with risk: 0
Turn: 88, cards: 19, with risk: 0
Turn: 9, cards: 3, with risk: 0
Turn: 92, cards: 18, with risk: 0
Turn: 90, cards: 19, with risk: 0
Turn: 83, cards: 24, with risk: 0
Turn: 87, cards: 22, with risk: 0
Turn: 19, cards: 5, with risk: 0
Turn: 86, cards: 22, with risk: 0
Turn: 86, cards: 20, with risk: 1
Turn: 83, cards: 22, with risk: 0
Turn: 15, cards: 5, with risk: 0
Turn: 81, cards: 20, with risk: 0
Turn: 93, cards: 20, with risk: 0
Turn: 89, cards: 22, with risk: 0
Turn: 18, cards: 4, with risk: 0
Turn: 84, cards: 23, with risk: 0
Turn: 95, cards: 15, with risk: 0
Turn: 25, cards: 5, with risk: 0
Turn: 89, cards: 20, with risk: 0
Turn: 35, cards: 10, with risk: 0
Turn: 85, cards: 21, with risk: 0
Turn: 84, cards: 20, with risk: 0
Turn: 91, cards: 17, with risk: 0
Turn: 84, cards: 20, with risk: 0
Turn: 95, cards: 19, with risk: 0
Turn: 81, cards: 24, with risk: 0
Turn: 44, cards: 10, with risk: 0
Turn: 70, cards: 17, with risk: 0
Turn: 84, cards: 22, with risk: 0
Turn: 92, cards: 20, with risk: 2
Turn: 90, cards: 19, with risk: 0
Turn: 89, cards: 19, with risk: 1
Turn: 88, cards: 21, with risk: 0
Turn: 89, cards: 20, with risk: 0
Turn: 83, cards: 21, with risk: 2
Turn: 63, cards: 18, with risk: 0
